Tag1	Tag2	Mismatches
10435_x1_FemaleLG_2_FemalePos_160.46_MaleLG_2_MalePos_6.33_duplicated_no	*	1355
1190_x1_FemaleLG_22_FemalePos_118.15_MaleLG_NA_MalePos_NA_duplicated_no	*	281
11921_x1_FemaleLG_10_FemalePos_69.91_MaleLG_NA_MalePos_NA_duplicated_no	*	434
13920_x1_FemaleLG_28_FemalePos_19.73_MaleLG_28_MalePos_9.42_duplicated_no	*	340
140571_x1_FemaleLG_24_FemalePos_12_MaleLG_24_MalePos_74.04_duplicated_no	*	370
15021_x1_FemaleLG_7_FemalePos_112.76_MaleLG_7_MalePos_77.7_duplicated_no	*	639
1522_x1_FemaleLG_17_FemalePos_90.38_MaleLG_NA_MalePos_NA_duplicated_no	*	1600
15270_x1_FemaleLG_9.5_FemalePos_0.02_MaleLG_NA_MalePos_NA_duplicated_no	*	1216
16079_x1_FemaleLG_23_FemalePos_144.61_MaleLG_NA_MalePos_NA_duplicated_no	*	141
16089_x1_FemaleLG_16_FemalePos_45.82_MaleLG_NA_MalePos_NA_duplicated_no	*	347
17134_x1_FemaleLG_23_FemalePos_152.67_MaleLG_NA_MalePos_NA_duplicated_no	*	9
17160_x1_FemaleLG_2_FemalePos_167.21_MaleLG_2_MalePos_6.33_duplicated_no	*	378
17413_x1_FemaleLG_3_FemalePos_58.45_MaleLG_3_MalePos_80.13_duplicated_no	*	202
18427_x1_FemaleLG_12_FemalePos_36.9_MaleLG_NA_MalePos_NA_duplicated_no	*	545
19130_x1_FemaleLG_17_FemalePos_27.59_MaleLG_NA_MalePos_NA_duplicated_no	*	1112
19329_x1_FemaleLG_18_FemalePos_2.62_MaleLG_NA_MalePos_NA_duplicated_no	*	312
20165_x1_FemaleLG_7_FemalePos_127.81_MaleLG_7_MalePos_82.59_duplicated_no	*	580
20287_x1_FemaleLG_9.5_FemalePos_69.84_MaleLG_9_MalePos_3.73_duplicated_no	*	525
20996_x1_FemaleLG_27_FemalePos_187.95_MaleLG_27_MalePos_8.25_duplicated_no	*	714
21090_x1_FemaleLG_4_FemalePos_128.3_MaleLG_4_MalePos_0_duplicated_no	*	161
2165_x1_FemaleLG_15_FemalePos_2.51_MaleLG_NA_MalePos_NA_duplicated_no	*	923
22189_x1_FemaleLG_26_FemalePos_36.75_MaleLG_NA_MalePos_NA_duplicated_no	*	200
22985_x1_FemaleLG_9_FemalePos_62.65_MaleLG_NA_MalePos_NA_duplicated_no	*	100
24788_x1_FemaleLG_4_FemalePos_109.19_MaleLG_NA_MalePos_NA_duplicated_no	*	530
24805_x1_FemaleLG_7_FemalePos_12.91_MaleLG_NA_MalePos_NA_duplicated_no	*	672
25134_x1_FemaleLG_22_FemalePos_89_MaleLG_NA_MalePos_NA_duplicated_no	*	186
25232_x1_FemaleLG_19_FemalePos_105.18_MaleLG_NA_MalePos_NA_duplicated_no	*	234
25836_x1_FemaleLG_24_FemalePos_87.51_MaleLG_24_MalePos_74.04_duplicated_no	*	231
25943_x1_FemaleLG_4_FemalePos_109.01_MaleLG_4_MalePos_154.59_duplicated_no	*	166
26180_x1_FemaleLG_20_FemalePos_0.92_MaleLG_NA_MalePos_NA_duplicated_no	*	1172
26713_x1_FemaleLG_15_FemalePos_2.51_MaleLG_NA_MalePos_NA_duplicated_no	*	343
